Survey Year,Fullstring,Category 1,Sub-category 1,Category 2,Sub-category 2,Category 3,Sub-category 3,Category 4,Sub-category 4,Category 5,Sub-category 5,Category 6,Sub-category 6,Category 7,Sub-category 7,Category 8,Sub-category 8
2015,"Less traffic, less construction, less buildings taking up the beautiful views of the city. I find that the traffic has become so bad, people are more grouchy and yelling and cussing. I've witness cars pull up to the corners so close to kids crossing the street because they're in a rush to make the light. It's so sad. I moved to Santa Monica because I felt it supported my lifestyle. Healthy, educated, spirited, family orientated, business minded. It's becoming less of that.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Restrict future height limit on Wilshire to no more than 5 stories.  I envision the Santa Monica government will not be able to resist turning our major streets (Colorado, Wilshire, Santa Monica, San Vicente, Ocean Avenue) into high-rise corridors similar to Westwood and West LA) for revenue.  Some growth can't be avoided, but a 5-story limit seems reasonable.  Less stories just means the new buildings will be torn down in the future and replaced with high-rises.",Development,Other,,,,,,,,,,,,,,
2015,"Stop the out of control development! I'm so sick of seeing large scale, cheaply constructed apartments springing up in what were once quiet neighborhoods with small homes. And although I realize it's good for business, I hate the corporate chain stores on 3rd Street - but then I remember back when it used to be full of bookstores (and, yes, many vacant storefronts). A nice balance in between faceless corporate and struggling independent would be ideal.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"The construction. Why do they allow so many construction projext go on all at once. I get it it will improve the city eventually. But its a matetr of public safty with 4 projects going on in one square block. look at the square block around 5/6th St and Broadway and Colorado. Who ever appoved all those projects to go on at one time is a moron, and only cares about money. I understand the rail is from the county, but the others are private projects.",Development,Against development,,,,,,,,,,,,,,
2015,"stop the over building and construction...however, with all the noise and construction I would like to see low income homes, and I would like  the city to monitor the apartments to ensure there are low income tenants.  That has not been the case in the past.  I would like to see things that I need available in Santa Monica, like the ability to buy bed sheets, towels, screwdriver, thread, a hose...things that I need but are not available.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"stop the development of residential units or mixed-use buildings until infrastructure is assessed (i.e, street maintenance, parking space in lots and streets, parking that is created as a result of new builds [there appears to be insufficient parking per unit built, plus that for visitors], # of starbucks/coffee bean and other chain stores relative to the density of other stores and residents, # of residents in existing houses/apts)",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Lessen the traffic around Broadway & Olympic. Ticket trucks & cars parked on the middle of the street on Broadway, And in the red as well.  Stop building multi home dwellings on Lincoln Boulevard between Santa Monica Blvd. and Colorado.  Put a stop sign at the corner of Broadway and 10th St. because they're almost always accidents waiting to happen with pedestrians crossing  and cars going east west and north south.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Fewer new building projects - smaller growth AND LESS TRAFFIC. The only reason I go to Santa Monica Place or the 3rd Street Promenade any more is to Apple. And I avoid that when I can. I use the bus to go to the airport and avoid going anywhere by care during rush hour. Last time I took the bus to the movie at Westwood Blvd and Pico it took over 1.5 hours… and I walked the last half mile. The bus never passed me.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"I would like to see Santa Monica support small creative businesses more effectively with ""buy local"" professional services policies and other efforts to mentor small businesses.  Santa Monica is a very expensive and poorly located (not central to most clients) place for a small business, so it is important to assist small architectural, design, music and film related businesses to survive and thrive here.",Development,More diverse and independent businesses,,,,,,,,,,,,,,
2015,"Less traffic and stop building any more housing in downtown Santa Monica.  Think of the residents (property owners) and not only of the renters rights.  The property owners pay the taxes and yet their rights are not highly considered in the community.  Not everyone who owns property is wealthy, but have worked hard and saved to be able to afford to buy a home. They should not be taxed to death.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"stop over development!    We have lost a lot of local businesses, either because they couldn't maintain the rents or because their buildings were knocked down for new development.  An overdeveloped Santa Monica wouldn't be the same.   It's hard enough getting in and out of Santa Monica as it is,  stop building new bigger ""money makers"" that will change the character of our town!",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Slow down. Reduce traffic and congestion. Santa Monica does not have the same laid back relaxing feel it once had. My family and I are seriously thinking of moving because of the over development. It takes me 30 mins to drive 2 miles on Pico some days. And I never go to 3rd st. Bc it is such a traffic nightmare and there are very few stores for the non tourist.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"*** Less commercial development ***    Lately, there's been a drastic increase in commercial development, including  large mixed commercial/residential use projects. This is truly destroying the small-town feel that characterized and made Santa Monica a highly desirable place to live. 90% of the Santa Monica residents I speak with share this same sentiment. ",Development,Against development,,,,,,,,,,,,,,
2015,Reduce the high influx of multi dwelling buildings which cause significant traffic increase and crowding in the schools.  I would have greater wellbeing if I was not stuck in traffic jams every day in my own community and if I did not feel under constant pressure to contribute money to the public school system which should be better funded by the city.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Santa Monica College has expanded to the detriment of the community.  The related traffic and parking issues have gotten much worse in the past several years.  The voters have passed school bonds and the sales tax rate has been increased to fund this unnecessary growth.  It is hurting our wellbeing, yet the continued expansion remains unchallenged.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"STOP DEVELOPMENT COMPLETELY.  ENOUGH IS ENOUGH.  WITH GLOBAL WARMING, DROUGHT IS  LIKELY THE NEW REALITY.  THERE ISN'T ENOUGH WATER AS IT IS -- WHY ON EARTH DOES THE CITY COUNCIL KEEP GIVING THUMBS UP TO MORE DEVELOPMENT?  ONE MORE THING:  FIRE ALL CITY COUNCIL MEMBERS.  THEY HAVE RUINED OUR CITY.  DON'T EVEN GET ME STARTED.......",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Stop all development NOW before Santa Monica is totally ruined.  Traffic and parking  have become a nightmare - it was MUCH better BEFORE all the PARKING PERMITS.  SM City Council has too much control and does NOT care and obviously does not listen to the residents of Santa Monica.  Also, SMRR's is totally out of control.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,I am concerned about the over development of Santa Monica.  Many of the new buildings are homely -- rather like stacked prefab boxes.  Must be like the 60's when all those homely and densely built apartment buildings were done.  We are dense enough as a city.  Please protect the R-1 areas which are scarce in Santa Monica.,Development,Against development,,,,,,,,,,,,,,
2015,"Stop growth of city, Santa Monica is too small (square footage wise) to keep adding more people and businesses.    Love the Metro coming to town but why is there no additional parking available to accommodate.      Big Blue Bus also needs to resume the number 2 line south of Pico for Metro and Downtown commutes.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Allow Santa Monica to be still for a while. There has been so much growth, for the better I believe. Though I feel we are in a constant race to make Santa Monica the most admirable city in Los Angeles county, that I question the incentives of our government officials that represent the heart of santa monica",Development,Against development,,,,,,,,,,,,,,
2015,"SOMEHOF FIGURE OUT A WAY TO LESSEN TRAFFIC AND CONSTRUCTION ON THE WEST SIDE.  THE QUALITY OF LIFE HAS GONE DOWN RADICALLY IN THE LAST YEAR DUE TO THE HORRIFIC, CONSTANT TRAFFIC AND THE ENDLESS CONSTRUCTION.  WE ARE SO APPALLED THAT WE ARE PLANNING TO LEAVE SANTA MONICA AND MOVE TO NORTHERN CALIFORNIA.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Stop building high buildings and just leave things alone.  There is plenty of everything in SM, outdoor space, shopping, restaurants, entertainment.  Let it be and let the Santa Monica Place flourish…..the management give PLENTY to our community for free lets not put up more of what we already have!!!!",Development,Against development,,,,,,,,,,,,,,
2015,"To improve the wellbeing of the Santa Monica community, I strongly think lawmakers should avoid building large condo/apartment developments. Traffic and congestion are the largest areas of discontent for me (this was not asked about in the survey) and large developments continue to add to the problem.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"improve responsiveness of city council to our need to limit development, which degrades our quality of life -- increased vehicles & population, strain on parking, environmental degradation, overuse city services - sewers, electric, trash, small town beach city appearance, avail of family housing",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Less stress -- less traffic and similar hazards, less noise, get a handle on the residential and commercial population growth. Santa Monica no longer feels like the quaint beach community it once was. Not only must the overdevelopment be stopped, but if no reversed, it may already be too late.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,No more development would improve my wellbeing and that of this community!  Overdevelopment has ruined this beautiful city!  There is already too much traffic and congestion as the logical result.  We need city council members who represent the residents-- not the developers and tourists!,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"See less traffic in the City of Santa Monica. Having lived here for so long, and loving this community, it saddens me how crowded it has become. The traffic situation can be very bad, creating a lot of stress. It takes way too long to get anywhere in the city during busy traffic times.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"The congestion prevents me from going downtown as often as I'd like. I am wary of any further development of the city. When my family moved here 43 years ago, it was for the schools, easy access to the beach, and the feeling of a smaller, quaint city. That no longer exists.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Like many of my neighbors, I believe Santa Monica has become overdeveloped, due in large part to developers from outside of the community and a city council and city hall staff working on their behalf. We are extremely concerned about the future livability of our city.",Development,Against development,,,,,,,,,,,,,,
2015,"Santa Monica doesn't think about the community, it thinks more about tourists and what shops to provide for these travelers to come and buy products. Santa Monica is bombarded by tourists and residence don't even enjoy it since it provides for the tourist needs.",Development,Against development,,,,,,,,,,,,,,
2015,"The gentrification of the city and the often negative impact this has on existing residents. Life in a neighborhood should belong to its residents, not the highest bidder to renovate and fill a building. I'm not anti progress, just anti greed mongering.",Development,Against development,,,,,,,,,,,,,,
2015,"Better infrastructure.  Too much development causing too much congestion, traffic mostly. Better wellness classes, with more variety of teachers, not just one.  Example - only have one yoga instructor in the rescape. No choices of teachers at all.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,I would like to stop all the construction that is killing Santa Monica. I wish money hungry people that do not live in Santa Monica or California or the United states would stop making Building that are distroying are unique small town community.,Development,Against development,,,,,,,,,,,,,,
2015,"The scale and character of Santa Monica are currently threatened by over-development with tall dense buildings taking away our light and air and space, and clogging our infrastructure.  Controlling future development is crucial to our wellbeing.",Development,Against development,,,,,,,,,,,,,,
2015,"Halt development for 10 years. As a city, we need to live within our means and get serious about our sustainability goals. It's shortsighted to bring in more people when we do not have the resources (jobs, space, water, food) to support them.",Development,Against development,,,,,,,,,,,,,,
2015,Reduce the rate at which Santa Monica is growing - we already have large traffic issues and overcrowding in downtown as it is.  Other than that I absolutely love and adore Santa Monica.  If I could just figure out how to buy property here...,Development,Against development,,,,,,,,,,,,,,
2015,Reduce development & traffic - it takes me 45 - 60 min to get from Ocean Park to Temescal Canyon & I don't go near Cloverfield around rush hours.  Think City council has sold the well being of SM to the developers & their own pockets !,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Have less traffic(it has really gotten out-of-hand in the past short period of time0 - and stop what I see as major over-development - I feel SM has ffailed me in its promise on this matter!  Have measure LC pass - working on it!,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Kick all the big developers out of town and stop the over-urbanization of the city. I do less and less because it's so hard to get anywhere by car most of the time. I feel like traffic is trapping me in my house and I HATE it.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"There's too much development happening too quickly in our city.  We're losing our quality of life and the pace that we're losing it is too rapid.  We need to slow down development, which brings too much traffic and congestion.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,I would like to see less new commercial development and a concerted effort to minimize construction and road repair being done all at once. Traffic and impeding traffic is about the biggest challenge I face on a daily basis.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"The city of Santa Monica, while a great city, has become a city for tourists. Residents like myself can no longer enjoy the things our city has to offer because of the amount of traffic and construction that has taken over.",Development,Against development,,,,,,,,,,,,,,
2015,"Stop the city's addiction to growth and over-development.  Reduce traffic and pollution (from airport exhaust fumes and particulates and car exhaust from neighborhood gridlock made worse by ""traffic calming"" features).",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Roll back the clock and return the city to what it was in the late 1950's to mid 1960's.  A beautiful, quiet beach town without the traffic/parking problems and crowds that prevent my participation in community events.",Development,Against development,,,,,,,,,,,,,,
2015,Less population density and commercial development ... focus on quality of life of existing residents rather than taxing infrastructure and natural resources by continuing to increase workforce and resident population,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"more small businesses. montana ave has become nothing but salons and other for service companies. i like that the city was walkable, and i know everyone hates the BBB stops but i love that everything is uniform.",Development,More diverse and independent businesses,,,,,,,,,,,,,,
2015,Reduce the congestion caused by rapid development in the city and stop the airport noise in my neighborhood. The City of Santa Monica has become too crowded and overly developed toward tourism. Reduce Traffic.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Moratorium on development and less traffic. I feel trapped in my own city. Plus I can not use any of the services (what's left of them) in my own city. I go out of Santa Monica to do my daily chores. Shameful!,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Stop the overdevelopment of mixed use property everywhere. I just noticed the lot where the ice rink is will b mixed use. Too much!  We don't need to be Manhattan at the beach. Changes the vibe completely,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Stop all the development which creates more  and more traffic which makes make me never go into any part of Santa Monica except my neighborhood.   I shop and do everything else anywhere but Santa Monica.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Less traffic and less development.  I understand the need for affordable housing but the continued development (including additional housing) puts more people and cars in an already cramped space.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Limit the amount of commercial construction in city which has increase traffic congestion.  Figure out a way to be able to get out of Santa Monica from 2pm to 8pm without being stuck in traffic.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Stop the massive overdevelopment that continues to destroy living in Santa Monica and get the homeless people help because they contribute to the daily crime that is all over Santa Monica.,Development,Against development,,,,,,,,,,,,,,
2015,"Traffic and major construction problems are getting me down, especially since at present I'm spending a lot of time crossing Santa Monica to visit an elderly parent in a rehab facility",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Reduce the density of building and traffic in the downtown SM area so that I can again enjoy shopping, dining and entertainment in my own city.  Now I avoid downtown whenever possible.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Stop the building of more developments in Santa Monica, business or residential.  This needs to be a small, quiet, under-developed community, in order to stay a desired place to live.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,I would like to see development restrained so we can work on traffic conditions in the city.  The negative impact on our quality of life has been significant over the past five years.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,less traffic and less development. There is too much traffic for me to feel safe allowing my son to ride his bike in our neighborhood.  Over development is killing Santa Monica.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Skills that would reduce dependability on corporations, and manufacturers and help cultivate a city of independent self sufficient people... ie. sewing, gardening, cooking etc.",Development,More diverse and independent businesses,,,,,,,,,,,,,,
2015,"It would be good to have less dense development in Santa Monica - and architecture standards that are prohibit ""stacked shipping containers"" residential and commercial styles.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,The well-being of my community is hurt by constant traffic and congestion...increasing the number of large scale housing is hurting what was once a premier beach community.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Less car traffic, resulting from slowed development and easy to use/affordable/accessible alternative forms of transportation.  More affordable housing and health care.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,stop building so many multi-family buildings as the traffic gets worse and worse daily. we cannot leave our house once we get home unless we walk or ride a bike.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Restrict commercial development and promote more community space in an effort to reduce vehicular traffic and homogenization (""Starbucking') of our unique city.",Development,Against development,,,,,,,,,,,,,,
2015,Less development (busness & residential) in Santa Monica as it's becoming more and more congested/overcrowded. Parking anywhere seems to get harder every year.,Development,Against development,,,,,,,,,,,,,,
2015,Slow down development projects!! It is sad to see the increasing gridlock and gentrification choking the community and ghettoizing those less fortunate.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"I would like to see the city stop the excessive development, stop driving out all the small businesses, and stop tearing the lawns and beautiful trees.",Development,Against development,,,,,,,,,,,,,,
2015,"Less traffic and development in Santa Monica and taking fluoride out of the water and filtering the water to remove other chemicals and contaminants,",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Limit development, which is leading to crowding, big resource limitations and mobility issues for anyone who cannot walk or bike moderate distances.",Development,Against development,,,,,,,,,,,,,,
2015,Stop any and all additional development in Santa Monica. No new construction except green space. Developers are destroying the quality of life here.,Development,Against development,,,,,,,,,,,,,,
2015,Turn SM airport into a park.  Tired of hearing the jets and breathing in polluted air from planes. Also limit development - becoming too dense.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Stop builiding more apartments. The more apartments you build the more congested the city becomes with  too many people and too many cars.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Reduce stress;  Keep Santa Monica a small city, rather than allowing it become a big city, which is the direction it appears to be going.",Development,Against development,,,,,,,,,,,,,,
2015,"chill out on all the development, too many new ugly apartment buildings, squeezed next to one another with no open space in between them.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Stop with the one lane traffic and building huge businesses. This town has turned for a great beach city to snotty implants. It is sad,Development,Against development,,,,,,,,,,,,,,
2015,I would like my community to stop expanding and retain some semblance of the community it was when i bought my home here 30 years ago.,Development,Against development,,,,,,,,,,,,,,
2015,"Fight to restrict development, especially regarding density and height. Quality of life is on the downward slope for residents.",Development,Against development,,,,,,,,,,,,,,
2015,Stop building so many multi story buildings.  I think putting the train up in the air ruined the natural beauty of the city.,Development,Against development,,,,,,,,,,,,,,
2015,Minimize development and FIX traffic gridlock by addressing  driving conditions in a realistic way to make them smoother.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Would like more attention to Lincoln Blvd upgrades and new restaurants, shops and positive businesses along that street",Development,Positive,,,,,,,,,,,,,,
2015,"Bring back more independently-owned stores, shops & restaurants, and limit the number of chain stores and brand names.",Development,More diverse and independent businesses,,,,,,,,,,,,,,
2015,"Allow further development of housing and reduce the number of NIMBY complaints about retailers like Trader Joes, etc.",Development,Positive,,,,,,,,,,,,,,
2015,stop development and overbuilding that is contributing to the traffic woes and destroying the sweetness of this city,Development,Against development,,,,,,,,,,,,,,
2015,Limit the hours to do residential construction. And also limit the number of construction projects in a given area.,Development,Against development,,,,,,,,,,,,,,
2015,Not have anymore construction on apartments in downtown Santa Monica and no to the rebuild of the Fairmont mirmar.,Development,Against development,,,,,,,,,,,,,,
2015,"Of highest priority is to minimize traffic.  Secondarily, decrease development that increases population density.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Would like to have more downtown shopping aimed at middle-income residents, e.g. Macy's, Target, Trader Joe's",Development,Positive,,,,,,,,,,,,,,
2015,Community---lower the level of development so traffic and strain on water resources do not overwhelm us....,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Reduce congestion and development (which are leading to greater and greater stress for the community),Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Less traffic.  Less development.  Less anger about politics.  Less micro-management of city staff.,Development,Against development,,,,,,,,,,,,,,
2015,find a decent city council who truly care about santa monica and not about big business and money.,Development,Against development,,,,,,,,,,,,,,
2015,control of developers in re high rises.  More open space.  Keeping control of 'monster mansions',Development,Against development,,,,,,,,,,,,,,
2015,Curb over built residential houses. Maintain trees on residential lots. Keep barking dogs quiet.,Development,Against development,,,,,,,,,,,,,,
2015,Keep SMRR and the City Council from from building more housing and therefore increasing traffic.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Stop the rampart development, and do something about traffic  everywhere and jets at the airport",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,No more development and fix the terrible traffic congestion. It's hard to get around this city!,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Stop development and improve traffic. There are too many people in a small geographical area.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Get involved in efforts to limit development and reduce density and traffic in Santa Monica.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Stop the overdevelopment and keep the calmness, tranquility and simplicity of Santa Monica.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,One thing I would like to improve is traffic and construction. Santa Monica is over crowed.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Stop building and increasing traffic.  Stop the commercial developments.  Too many already.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,less congestion and traffic to relieve stress  less building and development = less stress,Development,Against development,,,,,,,,,,,,,,
2015,"Social-engineered over-development with shoe-box rental units, and the resulting traffic.",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Variety, quality, and location of non-premium grocery stores definitely could be improved",Development,More diverse and independent businesses,,,,,,,,,,,,,,
2015,"Curtain development, enforce building codes/FAR limits and rationalize traffic patterns.",Development,Against development,,,,,,,,,,,,,,
2015,Prioritize community and Santa Monica residents before tourist and developer interests.,Development,Against development,,,,,,,,,,,,,,
2015,The over-riding concern is too much development with poor city planning not far behind.,Development,Against development,,,,,,,,,,,,,,
2015,get rid of the developers- the light rail - the outside money and all that goes with it,Development,Against development,,,,,,,,,,,,,,
2015,"Less development, better parking enforcement on neighborhood streets, & nicer people.",Development,Against development,,,,,,,,,,,,,,
2015,Stop over-development!  Not the same small town where I grew up--too many people!,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Reduce construction of condominiums.  The amount of traffic is unbearable now.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Have less development so Santa Monica will maintain what makes it so special.,Development,Against development,,,,,,,,,,,,,,
2015,Stop the massive overdevelopment and get this city back to a livable scale.,Development,Against development,,,,,,,,,,,,,,
2015,the incessant building in Santa Monica without the needed infrastructures,Development,Against development,,,,,,,,,,,,,,
2015,Cut back on development that is causing overgrowth and horrific traffic.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Better diversity of businesses on Montana. Mini parks in neighborhoods.,Development,More diverse and independent businesses,,,,,,,,,,,,,,
2015,"less traffic, less development, santa monica is getting WAY too crowded",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,stop building more housing!!!!!!!!!!!   Traffic is horrible now!!!!!!!!,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Have the city stop listening to developers and listen to the residents.,Development,Against development,,,,,,,,,,,,,,
2015,Have more family owned small businesses around that I could walk to .,Development,More diverse and independent businesses,,,,,,,,,,,,,,
2015,"Reverse or at least cap rampant development. Please, please, please.",Development,Against development,,,,,,,,,,,,,,
2015,Restrictions on development and regulations on size of homes built.,Development,Against development,,,,,,,,,,,,,,
2015,limit the number of tourists coming to Santa Monica in the summer,Development,Against development,,,,,,,,,,,,,,
2015,Slow down the over development that is happening in Santa Monica.,Development,Against development,,,,,,,,,,,,,,
2015,STOP THE MONEY GRABBING BUILDERS FROM CONTINUING TO OVERCROWD SM.,Development,Against development,,,,,,,,,,,,,,
2015,Stop the overdevelopment in order to solve the traffic problems.,Development,Against development,,,,,,,,,,,,,,
2015,stop over-development and lower commercial & residential density,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Stop over development of our city which is fueled by greed.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Return to the 'smaller town' feeling I grew up with in S.M.,Development,Against development,,,,,,,,,,,,,,
2015,development restrictions downtown and clean up the alleys!,Development,Against development,,,,,,,,,,,,,,
2015,I'd like to see less building and development in the City.,Development,Against development,,,,,,,,,,,,,,
2015,Stop development. Remove traffic calming. Reduce traffic.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Decrease development, no more apartments/condos/stores!",Development,Against development,,,,,,,,,,,,,,
2015,Stop evictions of long term residents for development.,Development,Against development,,,,,,,,,,,,,,
2015,Reduce development and accompanying traffic gridlock.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Stop the major developers from ruining Santa Monica,Development,Against development,,,,,,,,,,,,,,
2015,Minimize commercial development within Santa Monica,Development,Against development,,,,,,,,,,,,,,
2015,Be rid of over development! It has Ruined the city.,Development,Against development,,,,,,,,,,,,,,
2015,Stop the developers from building more apartments.,Development,Against development,,,,,,,,,,,,,,
2015,slow growth / development in this beautiful city!,Development,Against development,,,,,,,,,,,,,,
2015,stop / slow overdevelopment and resulting traffic,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Limit the amount of large scale construction...,Development,Against development,,,,,,,,,,,,,,
2015,Drastically limit development in Santa Monica,Development,Against development,,,,,,,,,,,,,,
2015,stop building low cost or any other housing,Development,Against development,,,,,,,,,,,,,,
2015,decrease building - regulate traffic better,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Limit high rise development dramatically,Development,Against development,,,,,,,,,,,,,,
2015,More people is making Santa Monica ugly,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,stop the greedy developers in our city,Development,Against development,,,,,,,,,,,,,,
2015,Fewer and less sprawling developments.,Development,Against development,,,,,,,,,,,,,,
2015,Lower density traffic and development.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Less traffic.  Stop building, please.",Development,Against development,,,,,,,,,,,,,,
2015,Control over-development and traffic,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,stop the traffic and overdevelopment,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,"Stop development, traffic congestion",Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Stop over-developing our community.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,STOP DEVELOPMENT!  We are overrun.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Less red tape in new construction,Development,Other,,,,,,,,,,,,,,
2015,Stop building!!!! It's too much!!,Development,Against development,,,,,,,,,,,,,,
2015,Reduce development and traffic.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Slow down development/crowding,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Slow down the development!!!!,Development,Against development,,,,,,,,,,,,,,
2015,Stop construction and traffic,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,less development and traffic,Development,Against development,,,,,,,,,,,,,,
2015,stop overbuilding this city!,Development,Against development,,,,,,,,,,,,,,
2015,Less commercial development,Development,Against development,,,,,,,,,,,,,,
2015,limits on population growth,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Stop the building………!!!!!!!,Development,Against development,,,,,,,,,,,,,,
2015,Stop the overdevelopment.,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,,,
2015,Limit over - development.,Development,Against development,,,,,,,,,,,,,,
2015,Minimize new development.,Development,Against development,,,,,,,,,,,,,,
2015,Improve Lincoln and pico,Development,Other,,,,,,,,,,,,,,
2015,City is overdeveloped!,Development,Against development,,,,,,,,,,,,,,
2015,Stop all the building,Development,Against development,,,,,,,,,,,,,,
2015,Lessen construction,Development,Against development,,,,,,,,,,,,,,
2015,Curb development.,Development,Against development,,,,,,,,,,,,,,
2015,Over development,Development,Against development,,,,,,,,,,,,,,
2015,Less Development,Development,Against development,,,,,,,,,,,,,,
2015,less development,Development,Against development,,,,,,,,,,,,,,
2015,less development,Development,Against development,,,,,,,,,,,,,,
